NZ_LT906481.1_1736,GCF_900187235.1,WP_005325331_1,372,1-372,372,cog.000009,cls.000004,0
NC_010545.1_1125,GCF_000069945.1,WP_012360394_1,226,1-226,226,cog.000010,cls.000006,0
NC_020230.1_1114,GCF_000338095.1,WP_012360394_1,226,1-226,226,cog.000010,cls.000006,0
NZ_CP065982.1_844,GCF_016127095.1,WP_012360394_1,226,1-226,226,cog.000010,cls.000006,0
NZ_CP066064.1_1336,GCF_016127975.1,WP_012360394_1,226,1-226,226,cog.000010,cls.000006,0
NZ_CP066289.1_1119,GCF_016403265.1,WP_012360394_1,226,1-226,226,cog.000010,cls.000006,0
NZ_CP063191.1_1456,GCF_028609845.1,WP_112770201_1,264,1-264,264,cog.000010,cls.000006,0
NZ_CP063191.1_178,GCF_028609845.1,WP_112769883_1,277,1-277,277,cog.000010,cls.000006,0
NZ_CP136640.1_1138,GCF_032918165.1,WP_148811986_1,226,1-226,226,cog.000010,cls.000006,0
NZ_LT906481.1_562,GCF_900187235.1,WP_012360394_1,226,1-226,226,cog.000010,cls.000006,0
NC_020230.1_1049,GCF_000338095.1,WP_015381661_1,201,1-201,201,cog.000011,cls.000010,0
NZ_CP065982.1_777,GCF_016127095.1,WP_015381661_1,201,1-201,201,cog.000011,cls.000010,0
NZ_CP066064.1_1400,GCF_016127975.1,WP_015381661_1,201,1-201,201,cog.000011,cls.000010,0
NZ_CP066289.1_1183,GCF_016403265.1,WP_015381661_1,201,1-201,201,cog.000011,cls.000010,0
NZ_CP063191.1_1226,GCF_028609845.1,WP_112769871_1,213,1-213,213,cog.000011,cls.000010,0
NZ_CP063191.1_205,GCF_028609845.1,WP_112769295_1,202,1-202,202,cog.000011,cls.000010,0
NZ_CP063191.1_228,GCF_028609845.1,WP_112769316_1,224,1-224,224,cog.000011,cls.000010,0
NZ_CP136640.1_1074,GCF_032918165.1,WP_317208913_1,201,1-201,201,cog.000011,cls.000010,0
NZ_LT906481.1_498,GCF_900187235.1,WP_015381661_1,201,1-201,201,cog.000011,cls.000010,0
NC_010545.1_1355,GCF_000069945.1,WP_173362360_1,190,1-190,190,cog.000012,cls.000027,0
NC_020230.1_1343,GCF_000338095.1,WP_173362360_1,190,1-190,190,cog.000012,cls.000027,0
NZ_CP065982.1_1075,GCF_016127095.1,WP_173362360_1,190,1-190,190,cog.000012,cls.000027,0
NZ_CP066064.1_1106,GCF_016127975.1,WP_173362360_1,190,1-190,190,cog.000012,cls.000027,0
NZ_CP066289.1_882,GCF_016403265.1,WP_173362360_1,190,1-190,190,cog.000012,cls.000027,0
NZ_CP063191.1_598,GCF_028609845.1,WP_112768895_1,198,1-198,198,cog.000012,cls.000027,0
NZ_CP136640.1_1388,GCF_032918165.1,WP_210398556_1,190,1-190,190,cog.000012,cls.000027,0
NZ_CP136640.1_1434,GCF_032918165.1,WP_210398556_1,190,1-190,190,cog.000012,cls.000027,0
NZ_LT906481.1_791,GCF_900187235.1,WP_173362360_1,190,1-190,190,cog.000012,cls.000027,0
NC_010545.1_248,GCF_000069945.1,WP_012359514_1,578,1-578,578,cog.000013,cls.000052,0
NC_020230.1_252,GCF_000338095.1,WP_015381192_1,578,1-578,578,cog.000013,cls.000052,0
NZ_CP065982.1_1565,GCF_016127095.1,WP_015381192_1,578,1-578,578,cog.000013,cls.000052,0
NZ_CP066064.1_246,GCF_016127975.1,WP_012359514_1,578,1-578,578,cog.000013,cls.000052,0
NZ_CP066289.1_31,GCF_016403265.1,WP_015381192_1,578,1-578,578,cog.000013,cls.000052,0
NZ_CP063191.1_1463,GCF_028609845.1,WP_112769844_1,597,1-597,597,cog.000013,cls.000052,0
NZ_CP063191.1_891,GCF_028609845.1,WP_112770311_1,633,1-633,633,cog.000013,cls.000052,0
NZ_CP136640.1_226,GCF_032918165.1,WP_317209650_1,593,1-593,593,cog.000013,cls.000052,0
NZ_LT906481.1_1648,GCF_900187235.1,WP_012359514_1,578,1-578,578,cog.000013,cls.000052,0
NC_010545.1_27,GCF_000069945.1,WP_231837686_1,283,1-283,283,cog.000014,cls.000078,0
NC_020230.1_28,GCF_000338095.1,WP_232620232_1,283,1-283,283,cog.000014,cls.000078,0
NZ_CP065982.1_1838,GCF_016127095.1,WP_232620232_1,283,1-283,283,cog.000014,cls.000078,0
NZ_CP066064.1_466,GCF_016127975.1,WP_231837686_1,283,1-283,283,cog.000014,cls.000078,0
NZ_CP066289.1_248,GCF_016403265.1,WP_236251539_1,283,1-283,283,cog.000014,cls.000078,0
NZ_CP063191.1_1220,GCF_028609845.1,WP_273661006_1,256,1-256,256,cog.000014,cls.000078,0
NZ_CP063191.1_1402,GCF_028609845.1,WP_112768770_1,252,1-252,252,cog.000014,cls.000078,0
NZ_CP136640.1_18,GCF_032918165.1,WP_317209511_1,283,1-283,283,cog.000014,cls.000078,0
NZ_LT906481.1_1427,GCF_900187235.1,WP_231837686_1,283,1-283,283,cog.000014,cls.000078,0
NC_010545.1_1256,GCF_000069945.1,WP_012360526_1,315,1-315,315,cog.000015,cls.000084,0
NC_020230.1_1248,GCF_000338095.1,WP_015381741_1,315,1-315,315,cog.000015,cls.000084,0
NZ_CP065982.1_978,GCF_016127095.1,WP_015381741_1,315,1-315,315,cog.000015,cls.000084,0
NZ_CP066064.1_1204,GCF_016127975.1,WP_012360526_1,315,1-315,315,cog.000015,cls.000084,0
NZ_CP066289.1_983,GCF_016403265.1,WP_200973586_1,315,1-315,315,cog.000015,cls.000084,0
NZ_CP063191.1_711,GCF_028609845.1,WP_238599248_1,331,1-331,331,cog.000015,cls.000084,0
NZ_CP136640.1_1291,GCF_032918165.1,WP_148812154_1,315,1-315,315,cog.000015,cls.000084,0
NZ_CP136640.1_634,GCF_032918165.1,WP_317210019_1,305,1-305,305,cog.000015,cls.000084,0
NZ_LT906481.1_693,GCF_900187235.1,WP_012360526_1,315,1-315,315,cog.000015,cls.000084,0
NC_010545.1_1252,GCF_000069945.1,WP_041628600_1,488,1-488,488,cog.000016,cls.000086,0
NC_020230.1_1244,GCF_000338095.1,WP_043952007_1,488,1-488,488,cog.000016,cls.000086,0
NZ_CP065982.1_974,GCF_016127095.1,WP_043952007_1,488,1-488,488,cog.000016,cls.000086,0
NZ_CP066064.1_1208,GCF_016127975.1,WP_041628600_1,488,1-488,488,cog.000016,cls.000086,0
NZ_CP066289.1_987,GCF_016403265.1,WP_200973589_1,545,1-545,545,cog.000016,cls.000086,0
NZ_CP063191.1_1124,GCF_028609845.1,WP_238599392_1,499,1-499,499,cog.000016,cls.000086,0
NZ_CP136640.1_1287,GCF_032918165.1,WP_317209052_1,548,1-548,548,cog.000016,cls.000086,0
NZ_CP136640.1_30,GCF_032918165.1,WP_317209518_1,522,1-522,522,cog.000016,cls.000086,0
NZ_LT906481.1_689,GCF_900187235.1,WP_041628600_1,488,1-488,488,cog.000016,cls.000086,0
NC_010545.1_1321,GCF_000069945.1,WP_012360594_1,283,1-283,283,cog.000017,cls.000134,0
NC_020230.1_1310,GCF_000338095.1,WP_015381777_1,283,1-283,283,cog.000017,cls.000134,0
NZ_CP065982.1_1042,GCF_016127095.1,WP_015381777_1,283,1-283,283,cog.000017,cls.000134,0
NZ_CP066064.1_1139,GCF_016127975.1,WP_012360594_1,283,1-283,283,cog.000017,cls.000134,0
NZ_CP066289.1_915,GCF_016403265.1,WP_012360594_1,283,1-283,283,cog.000017,cls.000134,0
NZ_CP063191.1_635,GCF_028609845.1,WP_112768846_1,284,1-284,284,cog.000017,cls.000134,0
NZ_CP136640.1_1355,GCF_032918165.1,WP_317209110_1,283,1-283,283,cog.000017,cls.000134,0
NZ_CP136640.1_1402,GCF_032918165.1,WP_317209110_1,283,1-283,283,cog.000017,cls.000134,0
NZ_LT906481.1_758,GCF_900187235.1,WP_012360594_1,283,1-283,283,cog.000017,cls.000134,0
NC_010545.1_1594,GCF_000069945.1,WP_012360874_1,587,1-587,587,cog.000018,cls.000176,0
NC_020230.1_1549,GCF_000338095.1,WP_012360874_1,587,1-587,587,cog.000018,cls.000176,0
NZ_CP065982.1_1298,GCF_016127095.1,WP_012360874_1,587,1-587,587,cog.000018,cls.000176,0
NZ_CP066064.1_855,GCF_016127975.1,WP_012360874_1,587,1-587,587,cog.000018,cls.000176,0
NZ_CP066289.1_622,GCF_016403265.1,WP_200973867_1,587,1-587,587,cog.000018,cls.000176,0
NZ_CP063191.1_1869,GCF_028609845.1,WP_112769688_1,528,1-528,528,cog.000018,cls.000176,0
NZ_CP063191.1_99,GCF_028609845.1,WP_273661162_1,607,1-607,607,cog.000018,cls.000176,0
NZ_CP136640.1_1651,GCF_032918165.1,WP_317209280_1,587,1-587,587,cog.000018,cls.000176,0
NZ_LT906481.1_1037,GCF_900187235.1,WP_012360874_1,587,1-587,587,cog.000018,cls.000176,0
NC_010545.1_531,GCF_000069945.1,WP_012359789_1,255,1-255,255,cog.000019,cls.000241,0
NC_020230.1_514,GCF_000338095.1,WP_015381367_1,255,1-255,255,cog.000019,cls.000241,0
NZ_CP065982.1_233,GCF_016127095.1,WP_015381367_1,255,1-255,255,cog.000019,cls.000241,0
NZ_CP066064.1_1934,GCF_016127975.1,WP_012359789_1,255,1-255,255,cog.000019,cls.000241,0
NZ_CP066289.1_1716,GCF_016403265.1,WP_012359789_1,255,1-255,255,cog.000019,cls.000241,0
NZ_CP063191.1_1510,GCF_028609845.1,WP_273661049_1,239,1-239,239,cog.000019,cls.000241,0
NZ_CP063191.1_1513,GCF_028609845.1,WP_112769522_1,197,1-197,197,cog.000019,cls.000241,0
NZ_CP136640.1_485,GCF_032918165.1,WP_317209828_1,255,1-255,255,cog.000019,cls.000241,0
NZ_LT906481.1_1934,GCF_900187235.1,WP_012359789_1,255,1-255,255,cog.000019,cls.000241,0
NC_010545.1_268,GCF_000069945.1,WP_012359536_1,177,1-177,177,cog.000020,cls.000317,0
NC_020230.1_270,GCF_000338095.1,WP_015381208_1,177,1-177,177,cog.000020,cls.000317,0
NZ_CP065982.1_1706,GCF_016127095.1,WP_015381208_1,177,1-177,177,cog.000020,cls.000317,0
NZ_CP066064.1_226,GCF_016127975.1,WP_012359536_1,177,1-177,177,cog.000020,cls.000317,0
NZ_CP066289.1_1981,GCF_016403265.1,WP_015381208_1,177,1-177,177,cog.000020,cls.000317,0
NZ_CP066289.1_9,GCF_016403265.1,WP_015381208_1,177,1-177,177,cog.000020,cls.000317,0
NZ_CP063191.1_1875,GCF_028609845.1,WP_112769861_1,178,1-178,178,cog.000020,cls.000317,0
NZ_CP136640.1_248,GCF_032918165.1,WP_317209668_1,177,1-177,177,cog.000020,cls.000317,0
NZ_LT906481.1_1668,GCF_900187235.1,WP_012359536_1,177,1-177,177,cog.000020,cls.000317,0
NC_010545.1_1318,GCF_000069945.1,WP_012360591_1,427,1-427,427,cog.000021,cls.000369,0
NC_020230.1_1307,GCF_000338095.1,WP_012360591_1,427,1-427,427,cog.000021,cls.000369,0
NZ_CP065982.1_1039,GCF_016127095.1,WP_012360591_1,427,1-427,427,cog.000021,cls.000369,0
NZ_CP066064.1_1142,GCF_016127975.1,WP_012360591_1,427,1-427,427,cog.000021,cls.000369,0
NZ_CP066289.1_918,GCF_016403265.1,WP_012360591_1,427,1-427,427,cog.000021,cls.000369,0
NZ_CP063191.1_639,GCF_028609845.1,WP_238599235_1,380,1-380,380,cog.000021,cls.000369,0
NZ_CP136640.1_1352,GCF_032918165.1,WP_317209108_1,432,1-432,432,cog.000021,cls.000369,0
NZ_CP136640.1_1400,GCF_032918165.1,WP_317209133_1,437,1-437,437,cog.000021,cls.000369,0
NZ_LT906481.1_755,GCF_900187235.1,WP_012360591_1,427,1-427,427,cog.000021,cls.000369,0
NC_010545.1_1356,GCF_000069945.1,WP_041628496_1,520,1-520,520,cog.000022,cls.000596,0
NC_020230.1_1344,GCF_000338095.1,WP_043951922_1,506,1-506,506,cog.000022,cls.000596,0
NZ_CP065982.1_1076,GCF_016127095.1,WP_043951922_1,506,1-506,506,cog.000022,cls.000596,0
NZ_CP066064.1_1105,GCF_016127975.1,WP_041628496_1,520,1-520,520,cog.000022,cls.000596,0
NZ_CP066289.1_881,GCF_016403265.1,WP_041628496_1,520,1-520,520,cog.000022,cls.000596,0
NZ_CP063191.1_597,GCF_028609845.1,WP_112768894_1,541,1-541,541,cog.000022,cls.000596,0
NZ_CP136640.1_1389,GCF_032918165.1,WP_070761577_1,524,1-524,524,cog.000022,cls.000596,0
NZ_CP136640.1_1435,GCF_032918165.1,WP_070761577_1,524,1-524,524,cog.000022,cls.000596,0
NZ_LT906481.1_792,GCF_900187235.1,WP_041628496_1,520,1-520,520,cog.000022,cls.000596,0
NC_010545.1_1314,GCF_000069945.1,WP_012360587_1,611,1-611,611,cog.000023,cls.000601,0
NC_020230.1_1303,GCF_000338095.1,WP_012360587_1,611,1-611,611,cog.000023,cls.000601,0
NZ_CP065982.1_1035,GCF_016127095.1,WP_012360587_1,611,1-611,611,cog.000023,cls.000601,0
NZ_CP066064.1_1146,GCF_016127975.1,WP_012360587_1,611,1-611,611,cog.000023,cls.000601,0
NZ_CP066289.1_922,GCF_016403265.1,WP_012360587_1,611,1-611,611,cog.000023,cls.000601,0
NZ_CP063191.1_645,GCF_028609845.1,WP_112768855_1,612,1-612,612,cog.000023,cls.000601,0
NZ_CP136640.1_1348,GCF_032918165.1,WP_317210344_1,611,1-611,611,cog.000023,cls.000601,0
NZ_CP136640.1_1398,GCF_032918165.1,WP_317210348_1,611,1-611,611,cog.000023,cls.000601,0
NZ_LT906481.1_751,GCF_900187235.1,WP_012360587_1,611,1-611,611,cog.000023,cls.000601,0
NC_010545.1_270,GCF_000069945.1,WP_262368111_1,114,1-114,114,cog.000024,cls.000642,0
NC_020230.1_272,GCF_000338095.1,WP_262368111_1,114,1-114,114,cog.000024,cls.000642,0
NC_020230.1_273,GCF_000338095.1,WP_262368111_1,114,1-114,114,cog.000024,cls.000642,0
NZ_CP065982.1_1704,GCF_016127095.1,WP_012359538_1,95,1-95,95,cog.000024,cls.000642,0
NZ_CP066064.1_224,GCF_016127975.1,WP_262368111_1,114,1-114,114,cog.000024,cls.000642,0
NZ_CP066289.1_7,GCF_016403265.1,WP_262368111_1,114,1-114,114,cog.000024,cls.000642,0
NZ_CP063191.1_1731,GCF_028609845.1,WP_238599230_1,120,1-120,120,cog.000024,cls.000642,0
NZ_CP136640.1_251,GCF_032918165.1,WP_256374215_1,114,1-114,114,cog.000024,cls.000642,0
NZ_LT906481.1_1670,GCF_900187235.1,WP_262368111_1,114,1-114,114,cog.000024,cls.000642,0
NC_010545.1_641,GCF_000069945.1,WP_012359900_1,582,1-582,582,cog.000025,cls.000804,0
NC_020230.1_633,GCF_000338095.1,WP_012359900_1,582,1-582,582,cog.000025,cls.000804,0
NZ_CP065982.1_355,GCF_016127095.1,WP_012359900_1,582,1-582,582,cog.000025,cls.000804,0
NZ_CP066064.1_1824,GCF_016127975.1,WP_012359900_1,582,1-582,582,cog.000025,cls.000804,0
NZ_CP066289.1_1605,GCF_016403265.1,WP_012359900_1,582,1-582,582,cog.000025,cls.000804,0
NZ_CP063191.1_20,GCF_028609845.1,WP_112768981_1,581,1-581,581,cog.000025,cls.000804,0
NZ_CP063191.1_593,GCF_028609845.1,WP_112768890_1,585,1-585,585,cog.000025,cls.000804,0
NZ_CP136640.1_653,GCF_032918165.1,WP_070757469_1,582,1-582,582,cog.000025,cls.000804,0
NZ_LT906481.1_73,GCF_900187235.1,WP_012359900_1,582,1-582,582,cog.000025,cls.000804,0
NC_010545.1_1320,GCF_000069945.1,WP_012360593_1,57,1-57,57,cog.000026,cls.000899,0
NC_020230.1_1309,GCF_000338095.1,WP_015381776_1,57,1-57,57,cog.000026,cls.000899,0
NZ_CP065982.1_1041,GCF_016127095.1,WP_015381776_1,57,1-57,57,cog.000026,cls.000899,0
NZ_CP066064.1_1140,GCF_016127975.1,WP_012360593_1,57,1-57,57,cog.000026,cls.000899,0
NZ_CP066289.1_916,GCF_016403265.1,WP_012360593_1,57,1-57,57,cog.000026,cls.000899,0
NZ_CP063191.1_636,GCF_028609845.1,WP_112768847_1,64,1-64,64,cog.000026,cls.000899,0
NZ_CP136640.1_1354,GCF_032918165.1,WP_015381776_1,57,1-57,57,cog.000026,cls.000899,0
NZ_CP136640.1_1401,GCF_032918165.1,WP_015381776_1,57,1-57,57,cog.000026,cls.000899,0
NZ_LT906481.1_757,GCF_900187235.1,WP_012360593_1,57,1-57,57,cog.000026,cls.000899,0
NC_010545.1_1326,GCF_000069945.1,WP_012360599_1,209,1-209,209,cog.000027,cls.001299,0
NC_020230.1_1314,GCF_000338095.1,WP_012360599_1,209,1-209,209,cog.000027,cls.001299,0
NZ_CP065982.1_1046,GCF_016127095.1,WP_012360599_1,209,1-209,209,cog.000027,cls.001299,0
NZ_CP066064.1_1135,GCF_016127975.1,WP_012360599_1,209,1-209,209,cog.000027,cls.001299,0
NZ_CP066289.1_911,GCF_016403265.1,WP_012360599_1,209,1-209,209,cog.000027,cls.001299,0
NZ_CP063191.1_633,GCF_028609845.1,WP_112768844_1,199,1-199,199,cog.000027,cls.001299,0
NZ_CP136640.1_1359,GCF_032918165.1,WP_284757952_1,209,1-209,209,cog.000027,cls.001299,0
NZ_CP136640.1_1408,GCF_032918165.1,WP_284757952_1,209,1-209,209,cog.000027,cls.001299,0
